Calibracion,Mercado,Fuente_Cuotas,Gestion Capital,Banca Final,Monto Apostado,ROI,Total Apuestas,Win Rate,Max Drawdown
ISO,PORTFOLIO_REAL,Real (Bet365),EDGE,$1.91,$35577.57,-2.81%,1313,32.22%,99.94%
ISO,PORTFOLIO,Mixto (Real + Sintético),FLAT,$357.85,$23210.00,-2.77%,2321,29.21%,91.69%
ISO,PORTFOLIO,Mixto (Real + Sintético),KELLY,$0.95,$73553.81,-1.36%,894,32.10%,99.99%
ISO,PORTFOLIO,Mixto (Real + Sintético),HALF,$1.93,$107261.32,-0.93%,1731,30.27%,99.96%
ISO,PORTFOLIO,Mixto (Real + Sintético),QUARTER,$42.51,$72879.15,-1.31%,2321,29.21%,99.26%
ISO,PORTFOLIO,Mixto (Real + Sintético),EDGE,$1.90,$91806.66,-1.09%,1598,30.85%,99.96%
SIG,1X2,Real (Bet365),FLAT,$249.80,$19920.00,-3.77%,1992,24.20%,96.71%
SIG,1X2,Real (Bet365),KELLY,$0.91,$25732.26,-3.88%,703,24.04%,99.98%
SIG,1X2,Real (Bet365),HALF,$1.95,$44922.69,-2.22%,1573,24.60%,99.94%
SIG,1X2,Real (Bet365),QUARTER,$58.87,$35326.63,-2.66%,1992,24.20%,98.66%
SIG,1X2,Real (Bet365),EDGE,$1.98,$47319.67,-2.11%,1157,23.94%,99.93%
SIG,DOUBLE_CHANCE_1X,Sintético (Poisson/Arbitraje),FLAT,$368.84,$4690.00,-13.46%,469,47.76%,65.88%
SIG,DOUBLE_CHANCE_1X,Sintético (Poisson/Arbitraje),KELLY,$0.96,$5229.27,-19.10%,392,47.45%,99.93%
SIG,DOUBLE_CHANCE_1X,Sintético (Poisson/Arbitraje),HALF,$26.71,$5672.27,-17.16%,469,47.76%,97.84%
SIG,DOUBLE_CHANCE_1X,Sintético (Poisson/Arbitraje),QUARTER,$184.92,$5164.33,-15.78%,469,47.76%,83.41%
SIG,DOUBLE_CHANCE_1X,Sintético (Poisson/Arbitraje),EDGE,$27.28,$6361.27,-15.29%,469,47.76%,97.95%
SIG,DOUBLE_CHANCE_X2,Sintético (Poisson/Arbitraje),FLAT,$1057.44,$4200.00,1.37%,420,47.38%,27.73%
SIG,DOUBLE_CHANCE_X2,Sintético (Poisson/Arbitraje),KELLY,$100.35,$19663.37,-4.58%,420,47.38%,98.70%
SIG,DOUBLE_CHANCE_X2,Sintético (Poisson/Arbitraje),HALF,$509.45,$14769.91,-3.32%,420,47.38%,85.27%
SIG,DOUBLE_CHANCE_X2,Sintético (Poisson/Arbitraje),QUARTER,$804.80,$8488.56,-2.30%,420,47.38%,59.08%
SIG,DOUBLE_CHANCE_X2,Sintético (Poisson/Arbitraje),EDGE,$616.71,$17310.89,-2.21%,420,47.38%,86.06%
SIG,OVER,Real (Bet365),FLAT,$871.30,$5530.00,-2.33%,553,48.64%,24.20%
SIG,OVER,Real (Bet365),KELLY,$15.83,$7685.16,-12.81%,553,48.64%,98.74%
SIG,OVER,Real (Bet365),HALF,$235.66,$10468.33,-7.30%,553,48.64%,83.04%
SIG,OVER,Real (Bet365),QUARTER,$567.38,$8619.57,-5.02%,553,48.64%,54.78%
SIG,OVER,Real (Bet365),EDGE,$309.11,$11020.41,-6.27%,553,48.64%,82.02%
SIG,UNDER,Real (Bet365),FLAT,$728.30,$7880.00,-3.45%,788,38.83%,56.77%
SIG,UNDER,Real (Bet365),KELLY,$0.93,$142008.59,-0.70%,728,38.74%,99.99%
SIG,UNDER,Real (Bet365),HALF,$116.32,$57504.42,-1.54%,788,38.83%,98.57%
SIG,UNDER,Real (Bet365),QUARTER,$463.71,$22346.30,-2.40%,788,38.83%,86.06%
SIG,UNDER,Real (Bet365),EDGE,$90.99,$54013.63,-1.68%,788,38.83%,98.88%
SIG,BTTS,Sintético (Poisson/Arbitraje),FLAT,$887.71,$2720.00,-4.13%,272,48.53%,23.30%
SIG,BTTS,Sintético (Poisson/Arbitraje),KELLY,$84.55,$7556.13,-12.12%,272,48.53%,94.43%
SIG,BTTS,Sintético (Poisson/Arbitraje),HALF,$381.31,$6765.10,-9.15%,272,48.53%,72.95%
SIG,BTTS,Sintético (Poisson/Arbitraje),QUARTER,$660.37,$4547.16,-7.47%,272,48.53%,46.22%
SIG,BTTS,Sintético (Poisson/Arbitraje),EDGE,$410.18,$6676.96,-8.83%,272,48.53%,72.01%
SIG,BTTS_NO,Sintético (Poisson/Arbitraje),FLAT,$660.34,$6890.00,-4.93%,689,41.51%,60.76%
SIG,BTTS_NO,Sintético (Poisson/Arbitraje),KELLY,$0.98,$34355.92,-2.91%,619,41.20%,99.96%
SIG,BTTS_NO,Sintético (Poisson/Arbitraje),HALF,$77.40,$22434.47,-4.11%,689,41.51%,98.06%
SIG,BTTS_NO,Sintético (Poisson/Arbitraje),QUARTER,$345.64,$12658.69,-5.17%,689,41.51%,83.91%
SIG,BTTS_NO,Sintético (Poisson/Arbitraje),EDGE,$70.66,$23573.76,-3.94%,689,41.51%,98.40%
SIG,HOME_CLEAN_SHEET,Sintético (Poisson/Arbitraje),FLAT,$154.40,$10750.00,-7.87%,1075,21.86%,95.98%
SIG,HOME_CLEAN_SHEET,Sintético (Poisson/Arbitraje),KELLY,$0.97,$48070.63,-2.08%,433,24.25%,99.99%
SIG,HOME_CLEAN_SHEET,Sintético (Poisson/Arbitraje),HALF,$2.79,$23828.32,-4.18%,1041,22.19%,99.95%
SIG,HOME_CLEAN_SHEET,Sintético (Poisson/Arbitraje),QUARTER,$97.22,$15851.74,-5.70%,1075,21.86%,96.54%
SIG,HOME_CLEAN_SHEET,Sintético (Poisson/Arbitraje),EDGE,$1.99,$17675.38,-5.65%,909,22.88%,99.93%
SIG,PORTFOLIO_REAL,Real (Bet365),FLAT,$0.91,$18690.00,-5.35%,1869,26.81%,99.94%
SIG,PORTFOLIO_REAL,Real (Bet365),KELLY,$0.98,$12686.04,-7.87%,523,25.43%,99.96%
SIG,PORTFOLIO_REAL,Real (Bet365),HALF,$1.94,$19074.16,-5.23%,1242,26.65%,99.91%
SIG,PORTFOLIO_REAL,Real (Bet365),QUARTER,$11.39,$21880.04,-4.52%,2167,27.13%,99.55%
SIG,PORTFOLIO_REAL,Real (Bet365),EDGE,$1.91,$21377.00,-4.67%,1181,26.76%,99.92%
SIG,PORTFOLIO,Mixto (Real + Sintético),FLAT,$2.47,$20850.00,-4.78%,2085,24.36%,99.86%
SIG,PORTFOLIO,Mixto (Real + Sintético),KELLY,$0.90,$29860.88,-3.35%,691,25.18%,99.98%
SIG,PORTFOLIO,Mixto (Real + Sintético),HALF,$1.99,$49474.72,-2.02%,1533,25.64%,99.94%
SIG,PORTFOLIO,Mixto (Real + Sintético),QUARTER,$16.67,$40633.52,-2.42%,2282,24.67%,99.70%
SIG,PORTFOLIO,Mixto (Real + Sintético),EDGE,$1.92,$54896.76,-1.82%,1280,25.31%,99.95%
